[2022-12-08 11:02:27,752] ERROR [django.request.log_response:241] Internal Server Error: /contract/doctor/session/
[2022-12-08 11:04:11,192] ERROR [shared.exception_handler.__handle_attribute_error:122] 'NoneType' object has no attribute 'start'
[2022-12-08 11:04:11,195] ERROR [django.request.log_response:241] Internal Server Error: /contract/doctor/session/
[2022-12-08 11:18:21,488] ERROR [django.request.log_response:241] Internal Server Error: /contract/doctor/session/
[2022-12-08 11:30:58,780] WARNING [django.request.log_response:241] Forbidden: /contract/doctor/session/
[2022-12-08 11:31:22,706] ERROR [django.request.log_response:241] Internal Server Error: /contract/doctor/session/
[2022-12-08 11:51:44,624] WARNING [django.request.log_response:241] Bad Request: /contract/doctor/session/
[2022-12-08 11:51:54,415] WARNING [django.request.log_response:241] Forbidden: /contract/supervisor/session/checkin
[2022-12-08 11:52:05,821] WARNING [django.request.log_response:241] Bad Request: /contract/supervisor/session/checkin
[2022-12-08 11:54:12,797] ERROR [django.request.log_response:241] Internal Server Error: /contract/supervisor/session/checkin
[2022-12-08 11:55:32,929] WARNING [django.request.log_response:241] Bad Request: /contract/supervisor/session/checkin
[2022-12-08 11:56:09,913] WARNING [django.request.log_response:241] Bad Request: /contract/supervisor/session/checkin
[2022-12-08 12:38:27,537] ERROR [django.request.log_response:241] Internal Server Error: /contract/doctor/52/approve/
[2022-12-08 12:43:25,770] ERROR [shared.exception_handler.__handle_attribute_error:122] 'NoneType' object has no attribute 'price'
[2022-12-08 12:43:25,773] ERROR [django.request.log_response:241] Internal Server Error: /contract/doctor/51/approve/
[2022-12-08 12:45:23,864] ERROR [shared.exception_handler.__handle_attribute_error:122] 'NoneType' object has no attribute 'price'
[2022-12-08 12:45:23,865] ERROR [django.request.log_response:241] Internal Server Error: /contract/doctor/51/approve/
[2022-12-08 12:46:21,655] ERROR [shared.exception_handler.__handle_attribute_error:122] 'NoneType' object has no attribute 'price'
[2022-12-08 12:46:21,659] ERROR [django.request.log_response:241] Internal Server Error: /contract/doctor/51/approve/
[2022-12-08 12:47:26,575] ERROR [shared.exception_handler.__handle_attribute_error:122] 'NoneType' object has no attribute 'price'
[2022-12-08 12:47:26,578] ERROR [django.request.log_response:241] Internal Server Error: /contract/doctor/51/approve/
[2022-12-08 12:48:28,534] ERROR [shared.exception_handler.__handle_attribute_error:122] 'NoneType' object has no attribute 'price'
[2022-12-08 12:48:28,537] ERROR [django.request.log_response:241] Internal Server Error: /contract/doctor/51/approve/
[2022-12-08 12:51:11,544] WARNING [django.request.log_response:241] Forbidden: /contract/
[2022-12-08 12:53:04,951] WARNING [django.request.log_response:241] Forbidden: /contract/doctor/53/approve/
[2022-12-08 12:53:13,678] ERROR [shared.exception_handler.__handle_attribute_error:122] 'dict' object has no attribute 'startTime'
[2022-12-08 12:53:13,680] ERROR [django.request.log_response:241] Internal Server Error: /contract/doctor/53/approve/
[2022-12-08 12:54:47,514] ERROR [shared.exception_handler.__handle_attribute_error:122] 'dict' object has no attribute 'startTime'
[2022-12-08 12:54:47,519] ERROR [django.request.log_response:241] Internal Server Error: /contract/doctor/53/approve/
[2022-12-08 12:55:55,781] ERROR [shared.exception_handler.__handle_attribute_error:122] 'dict' object has no attribute 'startTime'
